a	s	folder	dir	p	co_wes	note
A05320	T3204381	R18058325LU01	Project_s440e03074_37Samples_180926	P0105320		
A05320	T3204601-TR	R18058326LU01	Project_s440e030471_2Samples_180926	P2305320		
A05321	N3213683	R18058320LU01	Project_s440e03074_37Samples_180926	P0105321		
A05321	T3215801	R18058321LU01	Project_s440e03074_37Samples_180926	P0105321		
A05322	N3224213	R18058339LU01	Project_s440e03074_37Samples_180926	P0105322		
A05322	T3222832	R18058340LU01	Project_s440e03074_37Samples_180926	P0105322		
A05324	N3246893	R18058345LU01	Project_s440e03074_37Samples_180926	P0105324		
A05324	T3247972	R18058346LU01	Project_s440e03074_37Samples_180926	P0105324		
A05325	N3252073	R18058703LU01	Project_s440e03475_47Samples_180930	P0105325		
A05325	T3251471	R18058704LU01	Project_s440e03477_2Samples_180930	P0105325		
A05326	N3267143	R18060019LU01	Project_s440e03486_48Samples_181013	P0105326		
A05326	T3266208	R18060020LU01	Project_s440e03486_48Samples_181013	P0105326		
A05327	N3274013	R18058335LU01	Project_s440e03074_37Samples_180926	P0105327		
A05327	T3279791	R18058336LU01	Project_s440e03074_37Samples_180926	P0105327		
A05329	N3294983	R18058322LU01	Project_s440e03074_37Samples_180926	P0105329		
A05329	T3296311	R18058323LU01	Project_s440e03074_37Samples_180926	P0105329		
A05330	N3308663	R18058337LU01	Project_s440e03074_37Samples_180926	P0105330		
A05330	T3305011	R18058338LU01	Project_s440e03074_37Samples_180926	P0105330		
A05331	N3319383	R18058738LU01	Project_s440e03475_47Samples_180930	P0105331		
A05331	T3317201	R18058739LU01	Project_s440e03475_47Samples_180930	P0105331		
A05333	N3337263	R18059123LU01	Project_s440e03478_39Samples_181003	P0105333		
A05333	T3339631	R18059124LU01	Project_s440e03478_39Samples_181003	P0105333		
A05334	N3349853	R18058343LU01	Project_s440e03074_37Samples_180926	P0105334		
A05334	T3345231	R18058344LU01	Project_s440e03074_37Samples_180926	P0105334		
A05335	N3355673	R18068692LU01	Project_s440e03526_72Samples_181128	P0105335		
A05335	T3354921	R18068693LU01	Project_s440e03523_5Samples_181128	P0105335		
A05336	N3368373	R18058728LU01	Project_s440e03475_47Samples_180930	P0105336		
A05336	T3363621	R18058729LU01	Project_s440e03475_47Samples_180930	P0105336		
A05337	N3371973	R18058705LU01	Project_s440e03475_47Samples_180930	P0105337		
A05337	T3378642	R18058706LU01	Project_s440e03475_47Samples_180930	P0105337		
A05338	N3389073	R18058701LU01	Project_s440e03475_47Samples_180930	P0105338		
A05338	T3385651	R18058702LU02	Project_s440e03475_2Samples_181008	P0105338		
A05339	N3397713	R18058341LU01	Project_s440e03074_37Samples_180926	P0105339		
A05339	T3395101	R18058342LU01	Project_s440e03074_37Samples_180926	P0105339		
A05340	C3404743	R18058718LU01	Project_s440e03476_3Samples_181004	P2705340		
A05340	N3404833	R18058717LU01	Project_s440e03475_47Samples_180930	P2705340		
A05341	N3419253	R18058731LU01	Project_s440e03475_47Samples_180930	P0105341		
A05341	T3412551	R18058732LU01	Project_s440e03475_47Samples_180930	P0105341		
A05342	N3423413	R18059129LU01	Project_s440e03478_39Samples_181003	P0105342		
A05342	T3429271	R18059130LU01	Project_s440e03478_39Samples_181003	P0105342		
A05343	N3436423	R18058715LU01	Project_s440e03475_47Samples_180930	P0105343		
A05343	T3432648	R18058716LU01	Project_s440e03475_47Samples_180930	P0105343		
A05344	N3448583	R18058707LU01	Project_s440e03475_47Samples_180930	P0105344		
A05344	T3446958	R18058708LU01	Project_s440e03475_47Samples_180930	P0105344		
A05345	N3451673	R18058709LU01	Project_s440e03475_47Samples_180930	P0105345		
A05345	T3458412	R18058710LU01	Project_s440e03475_47Samples_180930	P0105345		
A05350	N3501553	R18062651LU01	Project_s440e03493_39Samples_181024	P0105350		
A05350	T3507042	R18062652LU01	Project_s440e03493_39Samples_181024	P0105350		
A05351	N3519203	R18059146LU01	Project_s440e03478_39Samples_181003	P0105351		
A05351	T3512422	R18059147LU01	Project_s440e03478_39Samples_181003	P0105351		
A05353	N3538963	R18058735LU01	Project_s440e03475_47Samples_180930	P0105353		
A05353	T3535661	R18058736LU01	Project_s440e03475_47Samples_180930	P0105353		
A05354	N3543663	R18058733LU01	Project_s440e03475_47Samples_180930	P0105354		
A05354	T3546631	R18058734LU01	Project_s440e03475_47Samples_180930	P0105354		
A05358	N3581623	R18059829LU01	Project_s440e03483_73Samples_181008	P0105358		
A05358	T3586708	R18059830LU01	Project_s440e03483_73Samples_181008	P0105358		
A05359	N3596463	R18059831LU01	Project_s440e03483_73Samples_181008	P0105359		
A05359	T3596158	R18059832LU01	Project_s440e03483_73Samples_181008	P0105359		
A05361	C3614073	R18062656LU01	Project_s440e03492_1Sample_181024	P2705361		
A05361	N3618983	R18062655LU01	Project_s440e03493_39Samples_181024	P2705361		
A05365	N3652213	R18058748LU01	Project_s440e03475_47Samples_180930	P0105365		
A05365	T3656521	R18058749LU01	Project_s440e03475_47Samples_180930	P0105365		
A05367	N3678993	R18059150LU01	Project_s440e03478_39Samples_181003	P0105367		
A05367	T3674611	R18059151LU01	Project_s440e03478_39Samples_181003	P0105367		
A05368	N3684573	R18059827LU01	Project_s440e03483_73Samples_181008	P0105368		
A05368	T3685348	R18059828LU01	Project_s440e03483_73Samples_181008	P0105368		
A05372	N3723793	R18059159LU01	Project_s440e03478_39Samples_181003	P0105372		
A05372	T3727631	R18059160LU01	Project_s440e03478_39Samples_181003	P0105372		
A05373	N3738093	R18058740LU01	Project_s440e03475_47Samples_180930	P0105373		
A05373	T3735251	R18058741LU01	Project_s440e03475_47Samples_180930	P0105373		
A05374	N3744463	R18058726LU01	Project_s440e03475_47Samples_180930	P0105374		
A05374	T3742118	R18058727LU01	Project_s440e03475_47Samples_180930	P0105374		
A05375	N3752353	R18058744LU01	Project_s440e03475_47Samples_180930	P0105375		
A05375	T3756581	R18058745LU01	Project_s440e03475_47Samples_180930	P0105375		
A05375	T3758931-TR	R18059117LU01	Project_s440e03479_2Samples_181003	P2305375		
A05376	N3769953	R18059135LU01	Project_s440e03478_39Samples_181003	P0105376		
A05376	T3767941	R18059136LU01	Project_s440e03478_39Samples_181003	P0105376		
A05377	N3778833	R18060896LU01	Project_s440e03489_27Samples_181017	P0105377		
A05377	T3778751	R18060897LU01	Project_s440e03489_27Samples_181017	P0105377		
A05378	N3787823	R18058746LU01	Project_s440e03475_47Samples_180930	P0105378		
A05378	T3786572	R18058747LU01	Project_s440e03475_47Samples_180930	P0105378		
A05379	N3794893	R18059833LU01	Project_s440e03483_73Samples_181008	P0105379		
A05379	T3791178	R18059834LU01	Project_s440e03483_73Samples_181008	P0105379		
A05382	N3828853	R18060031LU01	Project_s440e03486_48Samples_181013	P0105382		
A05382	T3829742	R18060032LU01	Project_s440e03486_48Samples_181013	P0105382		
A05386	N3863593	R18058750LU01	Project_s440e03475_47Samples_180930	P0105386		
A05386	T3861061	R18058751LU01	Project_s440e03475_47Samples_180930	P0105386		
